Frame index,Hips,LHipJoint,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RHipJoint,RightUpLeg,RightLeg,RightFoot,RightToeBase,LowerBack,Spine,Spine1,Neck,Neck1,Head,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftFingerBase,LeftHandIndex1,LThumb,RightShoulder,RightArm,RightForeArm,RightHand,RightFingerBase,RightHandIndex1,RThumb
1,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2,"[0.0, 2.2459211469213116]","[0.0, 2.2459211469213116]","[0.0, 0.6798166078426869]","[0.0, 0.5404144287514205]","[0.0, 0.8678117161603621]","[0.0, 0.38809668596657365]","[0.0, 2.2459211469213116]","[0.0, 0.317961329257573]","[0.0, 0.6172899329868238]","[0.0, 0.781111523177007]","[0.0, 0.43635838158109785]","[0.0, 0.31919537564267153]","[0.0, 0.21276732013417898]","[0.0, 0.056176924111074555]","[0.0, 0.08192994722624745]","[0.0, 0.18156336036881962]","[0.0, 0.024822039032963362]","[0.0, 0.21276732013417898]","[0.0, 1.4046352434571288]","[0.0, 0.49589509431953827]","[0.0, 0.03558377278966039]","[0.0, 0.33250627960841894]","[0.0, 0.124354709204596]","[0.0, 0.9365513240992287]","[0.0, 0.21276732013417898]","[0.0, 1.3544988167184162]","[0.0, 0.16830153048348429]","[0.0, 0.4399242005991868]","[0.0, 0.28471236685040835]","[0.0, 0.124354709204596]","[0.0, 0.4388184562730125]"
3,"[6.23624667304797e-05, 0.0025214157863635723]","[6.23624667304797e-05, 0.0025214157863635723]","[0.00017822025440218702, 0.002181605246466108]","[0.00040200328615225234, 0.0039136174268923]","[0.000366710643321049, 0.005732448642065576]","[0.0011454194465979712, 0.008019975543776153]","[6.23624667304797e-05, 0.0025214157863635723]","[0.0012239175506217749, 0.007022041166987135]","[8.31964514237259e-05, 0.0009245678327985475]","[0.0008329979458124901, 0.011731502097521057]","[0.00121582227804051, 0.009572894467530364]","[0.0003504556092637571, 0.0020149609560405762]","[0.0005817600262624991, 0.0022306268869477755]","[0.0009528895214326285, 0.0009653872473337821]","[0.0033742920981592196, 0.00501001148268012]","[0.0010295279897186815, 0.003371584592648696]","[0.005079613233621215, 0.0022928490317225664]","[0.0005817600262624991, 0.0022306268869477755]","[0.00023636083192121485, 0.00597883995885429]","[0.0005423830835768081, 0.004846629555220421]","[0.00972313215290658, 0.006351253148007351]","[0.000703435705328602, 0.004216073822218512]","[0.0, 0.0]","[0.0002542601429884676, 0.004288478953863203]","[0.0005817600262624991, 0.0022306268869477755]","[0.0001234273432745358, 0.00301002249033284]","[0.001310451646475002, 0.003980350695409224]","[0.0025677211147288707, 0.02043780554085367]","[0.005388568050766999, 0.02791631434287045]","[0.0, 0.0]","[0.003274923421396052, 0.026038290593830626]"
4,"[6.885872368580461e-05, 0.0003671561076777253]","[6.885872368580461e-05, 0.0003671561076777253]","[0.00031963511368775146, 0.0017382822996224625]","[0.00040414704218039946, 0.0002046170705560983]","[0.00046708355723491086, 0.0017533233593140687]","[0.0017215558105724022, 0.004194235758193319]","[6.885872368580461e-05, 0.0003671561076777253]","[0.001643437308208575, 0.002608559610810061]","[0.00016965060403261714, 0.0009511551913133446]","[0.0009433337788495374, 0.0020235517835356385]","[0.0013510544355450917, 0.001459748326350449]","[0.00042164596453160775, 0.0004819222638868227]","[0.0007250006724719928, 0.000624473613976891]","[0.001658535125097521, 0.0007215796344983052]","[0.004767459622655637, 0.002198879101992385]","[0.0019116611468851267, 0.0028911013199424316]","[0.008559690787069137, 0.0016013636011444194]","[0.0007250006724719928, 0.000624473613976891]","[0.0003965861046876097, 0.004111273639565895]","[0.0008393132335446493, 0.0027365175297623242]","[0.011021525465140099, 0.001113520062772388]","[0.0008008210258022782, 0.0007509698292519431]","[0.0, 0.0]","[0.0002887493038481768, 0.0007521305860909097]","[0.0007250006724719928, 0.000624473613976891]","[0.00019603512202758246, 0.001814717815506833]","[0.001309881020050863, 0.00018415216648334708]","[0.0031886204749715934, 0.005649630788705701]","[0.006258030308946038, 0.00560773746198181]","[0.0, 0.0]","[0.0038345347606265796, 0.005452689765899955]"
5,"[0.00010131109509157678, 0.0012902505214281749]","[0.00010131109509157678, 0.0012902505214281749]","[0.0004702603223259694, 0.0018136488170914272]","[0.0004879599418881183, 0.0009010531221110374]","[0.0007658741842029521, 0.004480363353528651]","[0.0033348747229757945, 0.010624706360521064]","[0.00010131109509157678, 0.0012902505214281749]","[0.0020160044941798963, 0.002326203808186671]","[0.00017115347610542888, 9.866020547931761e-05]","[0.0010098495383446871, 0.0014261134135873767]","[0.0018608764066801939, 0.004053185288530736]","[0.0007581490026834442, 0.0018291155257960032]","[0.000849744816346151, 0.0005495052992171779]","[0.0022367917449739975, 0.000596845297745501]","[0.006329186242743783, 0.002395787483988573]","[0.002714241999271986, 0.0026212916438361255]","[0.01186562516944149, 0.0015171816958565972]","[0.000849744816346151, 0.0005495052992171779]","[0.0005610572824697126, 0.004146406910527263]","[0.0012292539830110402, 0.0034352575757511158]","[0.018754772215108906, 0.004927064478380007]","[0.0013726269853258843, 0.0032654060631146097]","[0.0, 0.0]","[0.0004721527197601714, 0.0029680040119360864]","[0.000849744816346151, 0.0005495052992171779]","[0.0004189943469860048, 0.005049092548271682]","[0.002465210316414073, 0.0033069004693893293]","[0.00648611146369257, 0.02467371963544387]","[0.013518285802506594, 0.0355764489546888]","[0.0, 0.0]","[0.008298497799018919, 0.03330833565140617]"
6,"[0.00012925983130161246, 0.0011126286337955402]","[0.00012925983130161246, 0.0011126286337955402]","[0.0006921911518529761, 0.0025059274098070336]","[0.000496571629802559, 0.0002682295940042735]","[0.001021309286441886, 0.0038319385446179566]","[0.0045302742680731825, 0.00800201153329878]","[0.00012925983130161246, 0.0011126286337955402]","[0.002136952050390391, 0.00106539394229725]","[0.0001687378040241971, 2.3331589098891146e-05]","[0.0010932367357027496, 0.0015764774196080943]","[0.001968041403804951, 0.0013200248629153674]","[0.0010983160667966802, 0.0018140036514801437]","[0.001548112002050917, 0.002373235422118847]","[0.005326199027878778, 0.002741423545250772]","[0.008075868518261427, 0.002587178448803597]","[0.003311375024163277, 0.0020082217457062313]","[0.013547040744717347, 0.0008730173410347123]","[0.001548112002050917, 0.002373235422118847]","[0.0009916560048364262, 0.009685784837415617]","[0.0015617365009564675, 0.002939879120278742]","[0.03165641639908661, 0.007936012108818212]","[0.0018593539524632513, 0.002781609183925014]","[0.0, 0.0]","[0.0006537457766063779, 0.0028871147440022744]","[0.001548112002050917, 0.002373235422118847]","[0.00060462367627686, 0.0042023813384345415]","[0.0026326600745530605, 0.0007396904628679803]","[0.007101945624269477, 0.006319837221471448]","[0.013739994629913436, 0.003993137429615182]","[0.0, 0.0]","[0.008450534792777568, 0.003826322975639403]"
7,"[0.00019169565732957638, 0.002167420709199105]","[0.00019169565732957638, 0.002167420709199105]","[0.0008695530740949145, 0.002020611406570391]","[0.0005075178320078219, 0.0002715049901787417]","[0.0016355692953216173, 0.008115678910396301]","[0.006474034864116273, 0.011947443552777279]","[0.00019169565732957638, 0.002167420709199105]","[0.002543219553418377, 0.0023057294492987066]","[0.0002184923541457122, 0.0005032259703427078]","[0.0011724623457357343, 0.0014735586172139343]","[0.001989585254894299, 0.0007396411150819588]","[0.0013582419329197758, 0.0014107504943267454]","[0.001969620090438778, 0.001493239736308442]","[0.006243742498256231, 0.0009505463123069257]","[0.009684109843467494, 0.002368324919318832]","[0.004037463496503117, 0.002284529910135575]","[0.016212978768603607, 0.0012078164944741671]","[0.001969620090438778, 0.001493239736308442]","[0.0011066699682513112, 0.003246343338622331]","[0.0017621591334354163, 0.0019416596806391445]","[0.03621019098834955, 0.0033492868345771218]","[0.002241248420173521, 0.0022225375455444184]","[0.0, 0.0]","[0.0007975738716300669, 0.0023189619609681844]","[0.001969620090438778, 0.001493239736308442]","[0.0006914481381550039, 0.0022232704422615944]","[0.002915755939996196, 0.0009870977288424306]","[0.007562094133465239, 0.005141739976375238]","[0.013953963942305251, 0.0037835582606096916]","[0.0, 0.0]","[0.008596579183108678, 0.0036066221394343142]"
8,"[0.00021105244567505061, 0.0008455171504607724]","[0.00021105244567505061, 0.0008455171504607724]","[0.0008811512337635527, 0.00048770500702933117]","[0.0005014411356957048, 7.182660674862778e-05]","[0.0016925762575602395, 0.0015735994481291702]","[0.007285521490163477, 0.005822255392495241]","[0.00021105244567505061, 0.0008455171504607724]","[0.0028222166220076774, 0.0016988176704878582]","[0.0003375980032133765, 0.001044413534228385]","[0.0013157215960091955, 0.0020665830914642215]","[0.002073496452073926, 0.0010526006150825284]","[0.001737928981429437, 0.0018636438577087988]","[0.0023147665713544935, 0.0012344325217518023]","[0.008753806145593037, 0.0021152492343898314]","[0.010345945167080312, 0.0012608277989694717]","[0.004913949343824443, 0.002570727007007035]","[0.019047452372521402, 0.0012347366012058847]","[0.0023147665713544935, 0.0012344325217518023]","[0.0012247013431311527, 0.003177441601752435]","[0.0018870053688480016, 0.0013800630223620525]","[0.04388521536434087, 0.004914847173616036]","[0.002477238054066918, 0.0015147553822246992]","[0.0, 0.0]","[0.000882726712599229, 0.0015260332308263268]","[0.0023147665713544935, 0.0012344325217518023]","[0.0008257933839600741, 0.002980354089205392]","[0.0033341111817160357, 0.0012500183015495196]","[0.00765885205450492, 0.0027977627909468914]","[0.014278075674225352, 0.004036451789603809]","[0.0, 0.0]","[0.00885573774102366, 0.004091069032363779]"
9,"[0.00021378438749858556, 0.0003583009714084187]","[0.00021378438749858556, 0.0003583009714084187]","[0.0010444510014185537, 0.0016957364957380485]","[0.0005685484016359986, 0.0006006664876643893]","[0.0016801925584207498, 0.0005623854583939742]","[0.008007174183979423, 0.005161137072669109]","[0.00021378438749858556, 0.0003583009714084187]","[0.003159860452780114, 0.0018536003994354972]","[0.0004184195689248944, 0.0007245379212579385]","[0.0014648501337673325, 0.0020346376245667275]","[0.0020708276098472134, 0.000515364176968977]","[0.0020135313761297144, 0.0013943388959273381]","[0.0025204881396298047, 0.0008268571937866354]","[0.01058971157474, 0.0015825469475269258]","[0.012929368398463705, 0.0031727801752597833]","[0.005544626631630072, 0.0019330488937611694]","[0.022627255592915972, 0.001433107813273011]","[0.0025204881396298047, 0.0008268571937866354]","[0.001231824478098473, 0.0011575169149635738]","[0.0023736935721343265, 0.003480138274940453]","[0.04617798627160579, 0.002200860186764852]","[0.0029279633085784592, 0.002312026185369958]","[0.0, 0.0]","[0.0010323118024368463, 0.0021838068911291344]","[0.0025204881396298047, 0.0008268571937866354]","[0.0008419425028691072, 0.0009359293678405148]","[0.004000750807288362, 0.0017095754553392503]","[0.007946763327092574, 0.0036739180754480727]","[0.015121905903199844, 0.005765423120346938]","[0.0, 0.0]","[0.009460013698643029, 0.005792653588269713]"
10,"[0.00022749807532944653, 0.0006034308324980068]","[0.00022749807532944653, 0.0006034308324980068]","[0.0011196242416001364, 0.0009555367407152479]","[0.0005707836991850969, 0.00018335635080437613]","[0.001793400605699212, 0.001897030938282279]","[0.007867768962840131, 0.00022690721936984584]","[0.00022749807532944653, 0.0006034308324980068]","[0.005189966711133476, 0.007806779020933576]","[0.00048363538430064204, 0.0005856948116735745]","[0.0033303243458391142, 0.01695371001845761]","[0.0066834931806044155, 0.023640983642688143]","[0.0025343033288088134, 0.002194271200469042]","[0.0029123349207534747, 0.001223108089349809]","[0.013810251338327157, 0.0024098381996975294]","[0.014243488884705674, 0.001855343950271351]","[0.006488375642470877, 0.0024755882238491345]","[0.024984564371850336, 0.0010245470301830314]","[0.0029123349207534747, 0.001223108089349809]","[0.0013989749378697026, 0.0035542248662629623]","[0.0027333177804816063, 0.0026299651062632705]","[0.04866939861990243, 0.002221804137788781]","[0.0031734948445235204, 0.0014483816749638744]","[0.0, 0.0]","[0.0011079662461259867, 0.00131605628472923]","[0.0029123349207534747, 0.001223108089349809]","[0.0009560285996167879, 0.0023341471647839295]","[0.004943082793957976, 0.002155811448098736]","[0.007915695812373972, 0.0016179202165987664]","[0.01836494375100694, 0.01380510469226534]","[0.0, 0.0]","[0.01153394239081705, 0.013057542109022838]"
