Frame index,Hips,LHipJoint,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RHipJoint,RightUpLeg,RightLeg,RightFoot,RightToeBase,LowerBack,Spine,Spine1,Neck,Neck1,Head,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftFingerBase,LeftHandIndex1,LThumb,RightShoulder,RightArm,RightForeArm,RightHand,RightFingerBase,RightHandIndex1,RThumb
1,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2,"[0.0, 0.14918937445359315]","[0.0, 0.14918937445359315]","[0.0, 0.1440211437354602]","[0.0, 0.35060237955575774]","[0.0, 0.3048017284273511]","[0.0, 0.08059745234298003]","[0.0, 0.14918937445359315]","[0.0, 0.08640639718516496]","[0.0, 0.46156476276983593]","[0.0, 0.3172077795282699]","[0.0, 0.06869789021410956]","[0.0, 0.04567691922164571]","[0.0, 0.04787804710362177]","[0.0, 0.04349403751735307]","[0.0, 0.17510986986447577]","[0.0, 0.14082189020652555]","[0.0, 0.04566148780652272]","[0.0, 0.04787804710362177]","[0.0, 1.107595762592324]","[0.0, 2.3776797441731268]","[0.0, 0.17661859365556618]","[0.0, 0.7215920577613982]","[0.0, 0.124354709204596]","[0.0, 0.28364606000368653]","[0.0, 0.04787804710362177]","[0.0, 1.4037863537696276]","[0.0, 0.3697117164957955]","[0.0, 0.13192769282899935]","[0.0, 0.4763374218019543]","[0.0, 0.124354709204596]","[0.0, 0.8995533671125011]"
3,"[0.0008642506793085639, 0.002324885067756856]","[0.0008642506793085639, 0.002324885067756856]","[0.001237861613822699, 0.0032169729997118326]","[0.00026487008966478667, 0.001672439518157463]","[0.0004245204533204412, 0.002331081491093736]","[0.0038338285545964517, 0.005604920027626375]","[0.0008642506793085639, 0.002324885067756856]","[0.002052789686722059, 0.0032058973748467826]","[0.0001796429215878383, 0.001493039628677942]","[0.00021433042807776748, 0.0012242958757504303]","[0.0007586059917572926, 0.000939488916038137]","[0.0019729187485730683, 0.001628529613367349]","[0.0029867447669982812, 0.0025894598280657177]","[0.002572462020931755, 0.00202437745644456]","[0.0007095415303898152, 0.0022396374243394994]","[0.002516091893264613, 0.006410031654753652]","[0.002205206613409026, 0.0018205038834510781]","[0.0029867447669982812, 0.0025894598280657177]","[0.0003954514238643572, 0.007890246282242918]","[3.139068584430618e-05, 0.0013435503181888047]","[2.1958836776501055e-05, 6.981317007977992e-05]","[0.0001587725033462906, 0.0020628966875973773]","[0.0, 0.0]","[0.00038502009326093925, 0.0019672847498826704]","[0.0029867447669982812, 0.0025894598280657177]","[0.00018644045195947786, 0.0047127634573104265]","[0.0002599437895721965, 0.001730776624691062]","[0.007960283266203547, 0.019209093747449602]","[0.0007102033038281596, 0.006097997170127815]","[0.0, 0.0]","[0.00036456915160467247, 0.005907396723821375]"
4,"[0.0016818786369743803, 0.0021892845634456496]","[0.0016818786369743803, 0.0021892845634456496]","[0.0023213352692190367, 0.0028153235352413983]","[0.0004230355389054665, 0.0010224986275027812]","[0.0006040120199365181, 0.0010414478656776871]","[0.012824023069158912, 0.012936981963962839]","[0.0016818786369743803, 0.0021892845634456496]","[0.004274890939356889, 0.0034388155437034113]","[0.00036471136701637593, 0.0015235245203031069]","[0.0008853812500341737, 0.003683987390659885]","[0.002947010173732313, 0.0026175391890300233]","[0.0046839218730188445, 0.0022002603654316397]","[0.0034855582161543663, 0.000532582425626797]","[0.0039948193361932305, 0.0011562124266314721]","[0.0018189039554682839, 0.0034197813657398887]","[0.0051335980262743, 0.00662190783669087]","[0.005444371427143357, 0.002626366626771117]","[0.0034855582161543663, 0.000532582425626797]","[0.0008191222395476643, 0.00836077495609747]","[6.306850346242386e-05, 0.0013440104991576842]","[0.0007424189019499822, 0.002171189589480947]","[0.0017406178207435815, 0.019595440800041688]","[0.0, 0.0]","[0.00438560697668482, 0.0196202009248764]","[0.0034855582161543663, 0.000532582425626797]","[0.00038642518603580425, 0.004998111926761767]","[0.0007749706936446053, 0.003323949279144224]","[0.01594292799377203, 0.019280652246781396]","[0.0025669333349816288, 0.015410342468289862]","[0.0, 0.0]","[0.001308555677104754, 0.014757182312803188]"
5,"[0.0038048152557602346, 0.005315171541286293]","[0.0038048152557602346, 0.005315171541286293]","[0.005099980001701903, 0.006748535397809806]","[0.00046869004420957444, 0.00037520599564174254]","[0.0008732986368065209, 0.0014633401227023253]","[0.016767529325481815, 0.006149501816684112]","[0.0038048152557602346, 0.005315171541286293]","[0.008462003028427617, 0.006193217390757791]","[0.0005057542209292467, 0.0011772476051670768]","[0.0013339883977514107, 0.00250876978916342]","[0.004931257070314089, 0.002365298497738518]","[0.01232544772281436, 0.005943044065749496]","[0.005083851072640513, 0.0013762359847473745]","[0.007946406135828782, 0.002937710517153665]","[0.0027172616204413635, 0.002785320124674413]","[0.0061719874258695795, 0.0029522892876640175]","[0.007349568831186257, 0.001613660054252077]","[0.005083851072640513, 0.0013762359847473745]","[0.001036538196521256, 0.004587389754445156]","[0.0001012024498475839, 0.001570949802518656]","[0.002718452550294151, 0.0057351519220533494]","[0.0037836886023072166, 0.024804374975279233]","[0.0, 0.0]","[0.009567638723797558, 0.025054279326027863]","[0.005083851072640513, 0.0013762359847473745]","[0.0008870770160952443, 0.011703239617395856]","[0.0021830473438838125, 0.008608350966668324]","[0.024556697303708495, 0.02064200906333697]","[0.0025827204359221657, 0.0011073855484461154]","[0.0, 0.0]","[0.0013179949420109697, 0.001081969814510845]"
6,"[0.0042584201210988095, 0.0014579347761404188]","[0.0042584201210988095, 0.0014579347761404188]","[0.005952926100951555, 0.0024308980612317965]","[0.0005582485057980767, 0.0005951789218029532]","[0.001223988074071993, 0.0018075948394695167]","[0.022469455708679233, 0.008330036416356948]","[0.0042584201210988095, 0.0014579347761404188]","[0.008962808643109436, 0.0012260804598850702]","[0.0005388408414313666, 0.00040459770269825606]","[0.0016970746363641086, 0.0020528870267796187]","[0.010177760169194907, 0.0058202878497656515]","[0.015544288722676295, 0.002741604471347904]","[0.006390813539440925, 0.001141388857349765]","[0.010654323587259575, 0.002071501982496797]","[0.00405900639958026, 0.003910043653252356]","[0.0077338028661691, 0.004012859185158838]","[0.010289726905587986, 0.0023089100589518143]","[0.006390813539440925, 0.001141388857349765]","[0.0011411229844448178, 0.0026051526510196014]","[0.0001343044212380755, 0.0013613583256096892]","[0.007427574275026358, 0.013154546572281265]","[0.005091219368292391, 0.016385892697673512]","[0.0, 0.0]","[0.012759685949963497, 0.016076342077859008]","[0.006390813539440925, 0.001141388857349765]","[0.0009835690414376154, 0.0029740045771586236]","[0.0025708947966988096, 0.0027775916921104855]","[0.03244225083528293, 0.018975219627682338]","[0.006692195194840868, 0.030940866263890976]","[0.0, 0.0]","[0.003519391295086931, 0.030944105317328687]"
7,"[0.005166874507705307, 0.0023779241467434837]","[0.005166874507705307, 0.0023779241467434837]","[0.00750036123235797, 0.0037949402960151674]","[0.000818298583644643, 0.0014163344003271584]","[0.0016139661966649873, 0.0019315861375188853]","[0.02760109108160537, 0.007543575523296257]","[0.005166874507705307, 0.0023779241467434837]","[0.013246949771437314, 0.005900440838706581]","[0.0005380543408966029, 0.00016161954132879467]","[0.002765420792543258, 0.005156937772544681]","[0.013029050472270542, 0.003349064152473365]","[0.01561891728968251, 0.0005751093100124858]","[0.008748140256819956, 0.0018358749436263241]","[0.012711020607789576, 0.0016223786843231724]","[0.005191023759326388, 0.0033040431917932766]","[0.009516650307338278, 0.004363456670786756]","[0.012953843659576095, 0.002082046151544323]","[0.008748140256819956, 0.0018358749436263241]","[0.0015021998256098278, 0.006504688175574338]","[0.0001647850365887456, 0.0012385076194709238]","[0.007772361288968863, 0.001827359726838037]","[0.008212957903582303, 0.034813600212943774]","[0.0, 0.0]","[0.020500246500389223, 0.03503271816282981]","[0.008748140256819956, 0.0018358749436263241]","[0.001300921882904569, 0.007229180488030431]","[0.0029113892432176608, 0.0024519559750764796]","[0.032056953340202754, 0.001298524963483737]","[0.007804013929551311, 0.009914355071085814]","[0.0, 0.0]","[0.004099952125006769, 0.009668013582486984]"
8,"[0.006038718168675624, 0.002234005544277919]","[0.006038718168675624, 0.002234005544277919]","[0.008806067024714209, 0.0032261743398889165]","[0.0017063336054304247, 0.004261709411903247]","[0.0021416161041408087, 0.002420841770678229]","[0.02882675825122785, 0.002966160667530481]","[0.006038718168675624, 0.002234005544277919]","[0.014091183375692828, 0.0017576315667695462]","[0.0008693428617611369, 0.002154672463992715]","[0.003427172906653326, 0.0033279362335340286]","[0.019272699159839528, 0.006470111681536018]","[0.016953818101128955, 0.0013444120635135964]","[0.009984378009564109, 0.0010720381439159041]","[0.014800137317728761, 0.0015966189524314306]","[0.00573427409034135, 0.0018494931871547054]","[0.010299344791634584, 0.0023623031629084836]","[0.013343373348053217, 0.0006347633016684817]","[0.009984378009564109, 0.0010720381439159041]","[0.001853052531799737, 0.006158257956593181]","[0.00020341953433957767, 0.0014493754073641235]","[0.009634721261445912, 0.005375614096142549]","[0.009126084336190254, 0.012740523251887563]","[0.0, 0.0]","[0.02275256720080299, 0.012888531644700007]","[0.009984378009564109, 0.0010720381439159041]","[0.0014335103390079632, 0.0036228676917559426]","[0.0034896049044998104, 0.0035223082440355596]","[0.03162830742241805, 0.000987856356628769]","[0.012316455098913966, 0.03143795753100904]","[0.0, 0.0]","[0.006539350425769827, 0.031507303161244934]"
9,"[0.008690482995071781, 0.005415905482188992]","[0.008690482995071781, 0.005415905482188992]","[0.012495818757263709, 0.007381677795548329]","[0.002956947846174594, 0.00568128542410216]","[0.0031047179987795325, 0.003948124368961003]","[0.03137974964996166, 0.004276590524644097]","[0.008690482995071781, 0.005415905482188992]","[0.01978048515142213, 0.006987040459485979]","[0.0014885650124079612, 0.0036900513123563077]","[0.004275048583155993, 0.003921757900214292]","[0.028375552035880644, 0.009025391691331862]","[0.02195611324046006, 0.0034846470487306627]","[0.013101473067927272, 0.002152619721794237]","[0.015887835774462157, 0.0009968859252015238]","[0.005854371598703414, 0.0008675651807302532]","[0.012641407068073273, 0.004979340022402199]","[0.0161351665395081, 0.0019679728446048016]","[0.013101473067927272, 0.002152619721794237]","[0.001852158347584787, 0.0012077957185294553]","[0.0002873829524158563, 0.002687881520387551]","[0.011038229129948564, 0.004194026192542376]","[0.010342202703212733, 0.01494746698881704]","[0.0, 0.0]","[0.025716339012591696, 0.0151096183814737]","[0.013101473067927272, 0.002152619721794237]","[0.0016236478049414865, 0.004434866444297718]","[0.0037270074893100994, 0.00185570003509114]","[0.03207447736528425, 0.0035447637108005133]","[0.015543982177270654, 0.02293539352749806]","[0.0, 0.0]","[0.00828882907007179, 0.022937875844604143]"
10,"[0.01438187276486609, 0.010639738231743412]","[0.01438187276486609, 0.010639738231743412]","[0.01998794796881397, 0.013872509445134453]","[0.004153643206804085, 0.005254147623748173]","[0.004128195205930855, 0.003994386068639635]","[0.03642739871217726, 0.00663651962651401]","[0.01438187276486609, 0.010639738231743412]","[0.03149734955165435, 0.01363587659004233]","[0.0021261597622880923, 0.0036387387555110434]","[0.004983317428675376, 0.003259988974850416]","[0.030764806838864244, 0.003186963330671137]","[0.03624246187022023, 0.008971943437799416]","[0.018682943852822476, 0.0034798506907352854]","[0.01954478420539511, 0.002247365974754909]","[0.006115204154502161, 0.0010857347334141583]","[0.017018088296849795, 0.008125027730402428]","[0.021245483387602994, 0.003139181135860741]","[0.018682943852822476, 0.0034798506907352854]","[0.0019521338593686925, 0.0023608418498728217]","[0.00044692072980856553, 0.004555574951801626]","[0.016869911918049763, 0.013158037230785243]","[0.012519418207808969, 0.022230436929244927]","[0.0, 0.0]","[0.030981794050585463, 0.022506248460364527]","[0.018682943852822476, 0.0034798506907352854]","[0.0025526733676202802, 0.015742405659253743]","[0.004453662085022121, 0.0037837703691881762]","[0.046086158049030865, 0.02636668900987829]","[0.017590150858212673, 0.015592481886447693]","[0.0, 0.0]","[0.00934151212273148, 0.014933351207160545]"
