Frame index,Hips,LHipJoint,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RHipJoint,RightUpLeg,RightLeg,RightFoot,RightToeBase,LowerBack,Spine,Spine1,Neck,Neck1,Head,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftFingerBase,LeftHandIndex1,LThumb,RightShoulder,RightArm,RightForeArm,RightHand,RightFingerBase,RightHandIndex1,RThumb
1,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2,"[0.0, 1.1770797398536241]","[0.0, 1.1770797398536241]","[0.0, 0.33795046656537303]","[0.0, 0.7606567787241013]","[0.0, 0.20984356244434446]","[0.0, 0.17598696622204477]","[0.0, 1.1770797398536241]","[0.0, 0.26936584259438]","[0.0, 0.7590638440390064]","[0.0, 0.46706206056653815]","[0.0, 0.16364691126055325]","[0.0, 0.08378569511004415]","[0.0, 0.07260542494876868]","[0.0, 0.03937943787080198]","[0.0, 0.25659765171167465]","[0.0, 0.24573139480392306]","[0.0, 0.14085858019210884]","[0.0, 0.07260542494876868]","[0.0, 0.9990072916378769]","[0.0, 2.4088342728453904]","[0.0, 0.3450690464117989]","[0.0, 0.5383382761331421]","[0.0, 0.124354709204596]","[0.0, 0.8219215122445935]","[0.0, 0.07260542494876868]","[0.0, 1.3327448092690015]","[0.0, 2.106769669255119]","[0.0, 0.2629897023490096]","[0.0, 0.48040235627620664]","[0.0, 0.124354709204596]","[0.0, 0.3492364317183332]"
3,"[0.0003416640490739184, 0.007243934992677203]","[0.0003416640490739184, 0.007243934992677203]","[0.0008903622930253696, 0.005425832433408918]","[0.0006358081037364967, 0.008716455506603417]","[0.003966197896982769, 0.015100846412929164]","[0.006624249860443271, 0.021265810870078478]","[0.0003416640490739184, 0.007243934992677203]","[0.002121079696582422, 0.010328049209418341]","[0.0013317637424207058, 0.018244682180919222]","[0.0012387121879106038, 0.010439862622703544]","[0.0012665011184771033, 0.003740135956687674]","[0.004411146537165731, 0.006711852430721297]","[0.0009868564365132608, 0.0012922711263853846]","[0.00447790143551096, 0.0032027544780126676]","[0.0011847921961518266, 0.0054852661534029465]","[0.0005863786513308212, 0.0025966950000456033]","[0.0005484786352935114, 0.0013921698535351442]","[0.0009868564365132608, 0.0012922711263853846]","[0.0004170816920386704, 0.007506279274733286]","[3.944290602365946e-05, 0.0017103405587998322]","[0.0012056460064672502, 0.007506661112827617]","[0.0018391736984112012, 0.017887553774313815]","[0.0, 0.0]","[0.0011689792892566318, 0.01733509502166266]","[0.0009868564365132608, 0.0012922711263853846]","[0.0005023743204892758, 0.012063782993000363]","[0.000375276630521042, 0.014241874970473599]","[0.0006943912333024395, 0.003291690969261299]","[0.00032331979941051096, 0.0027976338078832138]","[0.0, 0.0]","[0.00042959424963595643, 0.0027028616845256874]"
4,"[0.000717450305502776, 0.007870734159569187]","[0.000717450305502776, 0.007870734159569187]","[0.0019312700790825956, 0.006256315741162367]","[0.001256151254895918, 0.008449899784371339]","[0.008442223033977935, 0.01691210441869688]","[0.00765499396932038, 0.0041615619853227976]","[0.000717450305502776, 0.007870734159569187]","[0.004222600934009129, 0.010177371395269969]","[0.0026551988045393398, 0.01801306052003873]","[0.0025357606708900794, 0.010834580818587725]","[0.00492668805734351, 0.010475822323749513]","[0.008683299506219603, 0.006489686660310376]","[0.0023587157896802127, 0.0017616902317160695]","[0.008515755798952914, 0.0028939789143995575]","[0.0019335090571314007, 0.0035377311929562457]","[0.0013382512504117685, 0.003271041926569156]","[0.0007452650357072213, 0.0005378295953738191]","[0.0023587157896802127, 0.0017616902317160695]","[0.0007326055456647774, 0.0057203231291249506]","[0.00011841225572775861, 0.003315374073679519]","[0.0028989214452698727, 0.010341075818066483]","[0.003310598946492812, 0.014391595649444082]","[0.0, 0.0]","[0.002102513913590266, 0.013912243661943822]","[0.0023587157896802127, 0.0017616902317160695]","[0.0009608952073033904, 0.010975162560454927]","[0.0007425124440711658, 0.013841102011276758]","[0.0012797899650263864, 0.0027785641691749625]","[0.0013598383505824322, 0.008624342624678712]","[0.0, 0.0]","[0.0018472780543142737, 0.008581392000380366]"
5,"[0.0010605072826265318, 0.007148413542357569]","[0.0010605072826265318, 0.007148413542357569]","[0.0025756764475929252, 0.004025120939865259]","[0.0018667138125091536, 0.00821873448369793]","[0.013723344414452856, 0.019595620780333983]","[0.010241297720749293, 0.00861279325749484]","[0.0010605072826265318, 0.007148413542357569]","[0.006398505295725119, 0.010386945013587907]","[0.003967512685713151, 0.017655912576094213]","[0.003410577677346264, 0.0075283955050425904]","[0.008222816599595562, 0.009423851465678305]","[0.011322352696448474, 0.004202376085494829]","[0.0036922091757996987, 0.0016963342779323127]","[0.01194364712699514, 0.0024774618013579113]","[0.0025905451201865227, 0.0031109470646287288]","[0.0025392802815131753, 0.005010581654430147]","[0.0012111481282318715, 0.0011367616363328567]","[0.0036922091757996987, 0.0016963342779323127]","[0.0010346754286303583, 0.005423992455992739]","[0.00022066557753027766, 0.004170974081405313]","[0.005038679363248697, 0.012730431564046697]","[0.0042787518739064, 0.00984599363176805]","[0.0, 0.0]","[0.002718590674770487, 0.009534357620345274]","[0.0036922091757996987, 0.0016963342779323127]","[0.0015154328996610032, 0.012880464464358993]","[0.0011431406616513357, 0.014781827490624096]","[0.002031492811639948, 0.0034435346141848283]","[0.0025546076365240617, 0.009755410589602578]","[0.0, 0.0]","[0.0034602535177862956, 0.009594514113395273]"
6,"[0.0013809712630098799, 0.006609099358599904]","[0.0013809712630098799, 0.006609099358599904]","[0.0029822349838827316, 0.0027305344594639766]","[0.0024243796336921395, 0.007456202952513306]","[0.01875362050864804, 0.018553469866048385]","[0.01728948282690721, 0.02076145764447322]","[0.0013809712630098799, 0.006609099358599904]","[0.00905227756312087, 0.012196532711522169]","[0.005294543959020363, 0.017507371591225878]","[0.004344849395983039, 0.007800007166852076]","[0.014313202302736368, 0.0164955537361309]","[0.013422561551873843, 0.00344048075857466]","[0.005431792324076741, 0.0021159613997013328]","[0.016011809785071742, 0.0028304906683730194]","[0.002988795028931577, 0.0020458708131925562]","[0.004543580111193632, 0.007940392337039017]","[0.0023105601257752805, 0.0024651725050111243]","[0.005431792324076741, 0.0021159613997013328]","[0.0017658821006129378, 0.011778557881574109]","[0.00032407154805112775, 0.00413736443020958]","[0.009534643753231445, 0.025172883801514147]","[0.00515926435388424, 0.008935650881245647]","[0.0, 0.0]","[0.003291345783446124, 0.008798673014783636]","[0.005431792324076741, 0.0021159613997013328]","[0.0018616002308275976, 0.008462228638705644]","[0.001553240676574919, 0.014800623218295157]","[0.002023108300339829, 0.0003193952531149445]","[0.0026459863972374932, 0.0015895957674343748]","[0.0, 0.0]","[0.0035793454760369194, 0.0015442167703264647]"
7,"[0.001703635357030735, 0.006473576931900456]","[0.001703635357030735, 0.006473576931900456]","[0.0035651846153651207, 0.0034910869814065333]","[0.002931203879559481, 0.006721000727871857]","[0.02365432951864055, 0.017838522325912945]","[0.029847410780025098, 0.03596692760741337]","[0.001703635357030735, 0.006473576931900456]","[0.011218024105972248, 0.010065766089110452]","[0.00665270823405231, 0.01742395051857851]","[0.005794368487452451, 0.01100883015286097]","[0.017691602162132267, 0.009784927307533395]","[0.017211099739794154, 0.0054107839553282945]","[0.006224899827211176, 0.0010957563760587723]","[0.021137039059979025, 0.003387416832153307]","[0.0037270513925735226, 0.0032181460141809184]","[0.007340577455326514, 0.01059615955110932]","[0.004026259992360684, 0.003651337163101355]","[0.006224899827211176, 0.0010957563760587723]","[0.003041678758035283, 0.019235748770104855]","[0.00045728835369173695, 0.005043526820445352]","[0.015837434854650438, 0.034140385498261074]","[0.005974303352270252, 0.00820209480972436]","[0.0, 0.0]","[0.003815637883133904, 0.007998285704167343]","[0.006224899827211176, 0.0010957563760587723]","[0.0020179008449525766, 0.004672323161045429]","[0.001957016189687511, 0.01424264585221238]","[0.0024810213131975936, 0.002069960492865342]","[0.0041478689563501266, 0.011099741862317774]","[0.0, 0.0]","[0.005568366850545355, 0.010739670003101939]"
8,"[0.002182964908095936, 0.008672442831282889]","[0.002182964908095936, 0.008672442831282889]","[0.004879732568312884, 0.006627690845072842]","[0.0034173741147930418, 0.006295385264085286]","[0.029125453022735996, 0.019064155515105898]","[0.04965216690960408, 0.05726062969739192]","[0.002182964908095936, 0.008672442831282889]","[0.012994899009103236, 0.008385911213179897]","[0.00799837417049804, 0.016775533204722963]","[0.0072788865900104294, 0.010909547621487272]","[0.020277854847104503, 0.007784657715257557]","[0.021474134065869017, 0.005821407849107836]","[0.007983528063740223, 0.001984351145855127]","[0.023963427634499112, 0.002080037635112239]","[0.004077957166731723, 0.0018127991244301278]","[0.009366149500602631, 0.00782065023640444]","[0.005035246688872867, 0.0022471889863226917]","[0.007983528063740223, 0.001984351145855127]","[0.003991078511787066, 0.014453388379833135]","[0.0006008779262809728, 0.0052185615821876506]","[0.020290548681269425, 0.024781930049067445]","[0.006718154966362364, 0.007426839846332947]","[0.0, 0.0]","[0.004304926489806904, 0.007349063211460733]","[0.007983528063740223, 0.001984351145855127]","[0.0021678172664015265, 0.004368093819688158]","[0.0023638232283941353, 0.013873856878552743]","[0.002700158696875094, 0.0011815879036001851]","[0.00626011785245038, 0.01472581220731108]","[0.0, 0.0]","[0.008373203238740084, 0.014306988693725394]"
9,"[0.002672860930374002, 0.00850303598630733]","[0.002672860930374002, 0.00850303598630733]","[0.005958321106004987, 0.005433703952524353]","[0.003959017293818615, 0.00655340870845208]","[0.03493421193679275, 0.019433145140005728]","[0.05029877407421918, 0.008041861161698007]","[0.002672860930374002, 0.00850303598630733]","[0.014013433545802322, 0.005555308253234886]","[0.009294897700677865, 0.01570010433797224]","[0.008049942158259327, 0.006461345087610524]","[0.021861828296522078, 0.005444419788320572]","[0.027375460063560165, 0.007427344733388918]","[0.010008464740084119, 0.00215381432376611]","[0.028646343194696496, 0.002938501493511369]","[0.0053128777282612505, 0.004493507836924517]","[0.01098600855112312, 0.006334549657902446]","[0.0059387728115801695, 0.001986534513918637]","[0.010008464740084119, 0.00215381432376611]","[0.004852955173858668, 0.012887862268944549]","[0.00076255747919527, 0.005550473470606234]","[0.023134846350887403, 0.017032668170212654]","[0.0072776506369009635, 0.005912491988929276]","[0.0, 0.0]","[0.004681418123367167, 0.005918408676195246]","[0.010008464740084119, 0.00215381432376611]","[0.002469290543164577, 0.006597165668320743]","[0.002813943277803592, 0.014434900854550334]","[0.003647401776289835, 0.0034452799434367765]","[0.006816547596786829, 0.0051145724847238465]","[0.0, 0.0]","[0.009102829692113281, 0.004943710660086802]"
10,"[0.003032811120292544, 0.006429510612572454]","[0.003032811120292544, 0.006429510612572454]","[0.006605177006078985, 0.0035685024511908927]","[0.004646294293296103, 0.0074763449522134455]","[0.04053551751732812, 0.01825717472324909]","[0.0550717196760922, 0.017864080198358907]","[0.003032811120292544, 0.006429510612572454]","[0.014887393705342943, 0.004838518099827273]","[0.010501296462913756, 0.01422795762595424]","[0.00918558639259368, 0.008054880650998053]","[0.021616864546938796, 0.0009366455882035255]","[0.033000341014334085, 0.0069131496452897205]","[0.011522545224711474, 0.0016479530921084022]","[0.03398470222267178, 0.003139296921534746]","[0.006325647251523029, 0.0036715288631700583]","[0.011945920540681733, 0.004223396597399977]","[0.006245750492448058, 0.0009555807912867472]","[0.011522545224711474, 0.0016479530921084022]","[0.006256946129553458, 0.018380114192985613]","[0.0010200273786139292, 0.007853399608456955]","[0.023336756272507503, 0.005574581630869927]","[0.007778313590850917, 0.005258778798793852]","[0.0, 0.0]","[0.005010995637540609, 0.00518396058529628]","[0.011522545224711474, 0.0016479530921084022]","[0.0028566468331012417, 0.007547948303551819]","[0.00330673418912368, 0.01476513238109357]","[0.005450037940266227, 0.005846852994180993]","[0.007740104385991146, 0.006849116481873902]","[0.0, 0.0]","[0.010355099003800999, 0.006779042097828609]"
