Frame index,Hips,LHipJoint,LeftUpLeg,LeftLeg,LeftFoot,LeftToeBase,RHipJoint,RightUpLeg,RightLeg,RightFoot,RightToeBase,LowerBack,Spine,Spine1,Neck,Neck1,Head,LeftShoulder,LeftArm,LeftForeArm,LeftHand,LeftFingerBase,LeftHandIndex1,LThumb,RightShoulder,RightArm,RightForeArm,RightHand,RightFingerBase,RightHandIndex1,RThumb
1,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2,"[0.0, 3.0393615750387264]","[0.0, 3.0393615750387264]","[0.0, 0.5981041626510388]","[0.0, 0.7584723631337227]","[0.0, 0.5465975795863126]","[0.0, 0.08920660209098664]","[0.0, 3.0393615750387264]","[0.0, 0.5955912457869115]","[0.0, 0.7259990859396166]","[0.0, 0.4553181034590665]","[0.0, 0.03377787885914559]","[0.0, 0.22550286935657057]","[0.0, 0.09965991919966662]","[0.0, 0.023693424505878753]","[0.0, 0.14758060897352504]","[0.0, 0.28586106728751626]","[0.0, 0.11183137234143029]","[0.0, 0.09965991919966662]","[0.0, 1.5730677226802883]","[0.0, 0.560831172098725]","[0.0, 0.11913442941188092]","[0.0, 0.7468441969457648]","[0.0, 0.124354709204596]","[0.0, 0.08017470762933383]","[0.0, 0.09965991919966662]","[0.0, 1.5911640473928113]","[0.0, 0.5341913246583686]","[0.0, 0.21356023260327814]","[0.0, 0.8990440468579823]","[0.0, 0.124354709204596]","[0.0, 1.3309308734635006]"
3,"[0.0001411998614587647, 0.007727015935133124]","[0.0001411998614587647, 0.007727015935133124]","[0.0007073735496310956, 0.00762628456795015]","[5.3740098157543e-06, 7.336947229159217e-05]","[0.0008741532528202518, 0.008615643900334811]","[0.0005170613828734764, 0.0008311147808230447]","[0.0001411998614587647, 0.007727015935133124]","[0.00044924113611991337, 0.004820484792544886]","[4.891941529782041e-05, 0.0006393406763645362]","[0.0005185449894385329, 0.0042542647397264335]","[0.0021320413092881037, 0.0013018365602780685]","[0.0006009000037423164, 0.0024420190894647886]","[0.0025902534964193837, 0.004670797793558938]","[0.01104620260456651, 0.004817433517356905]","[0.001066070285055017, 0.0028380146932661145]","[0.00027657691731978605, 0.001423914008707749]","[0.000583351105253143, 0.0011756369186942974]","[0.0025902534964193837, 0.004670797793558938]","[0.0001700862331283934, 0.004817667813276797]","[1.0284862687914018e-05, 0.00010382742648909254]","[0.0007192595101386465, 0.0015446163880149513]","[0.001053045892481278, 0.01418617945713373]","[0.0, 0.0]","[0.009307344378243371, 0.013686619073614133]","[0.0025902534964193837, 0.004670797793558938]","[7.418407213405203e-05, 0.002125017812226322]","[0.0001811464179693555, 0.001742434517271015]","[0.0006108311339801335, 0.0023509585024363774]","[0.0004702370597508644, 0.007616912528409169]","[0.0, 0.0]","[0.00031179056007255186, 0.007474151086055119]"
4,"[0.0005291143781229242, 0.02043220659759587]","[0.0005291143781229242, 0.02043220659759587]","[0.002601720715440888, 0.019735158466134686]","[4.2372954395828325e-05, 0.0004805838781722546]","[0.0030806713218909597, 0.02105156774242567]","[0.005151061358264112, 0.007166915407602875]","[0.0005291143781229242, 0.02043220659759587]","[0.0017504540896193547, 0.013455710450625087]","[8.340988339118646e-05, 0.0004559398067229996]","[0.0024716664539676278, 0.015410136650074294]","[0.012163426108406077, 0.00600408479308274]","[0.005554452518191388, 0.019394833293279467]","[0.012772113204744421, 0.018027382375799223]","[0.06049389247433823, 0.027972949942396488]","[0.003031018648467504, 0.005094377916891813]","[0.001921593148797248, 0.00810170556762453]","[0.002194996621828545, 0.003134835785617869]","[0.012772113204744421, 0.018027382375799223]","[0.0007749541076288068, 0.016433130795322107]","[0.00015777583430986216, 0.0014117278059972585]","[0.0012241121586393715, 0.0010978120995044376]","[0.0019350777218003752, 0.011906857014143643]","[0.0, 0.0]","[0.0170398732540954, 0.011510092766488934]","[0.012772113204744421, 0.018027382375799223]","[0.0006979400016437335, 0.017004809233886375]","[0.0012151640751543575, 0.009502161882935274]","[0.004988231793428285, 0.016217599409531266]","[0.003185048259054451, 0.042198501591825116]","[0.0, 0.0]","[0.002110049569775344, 0.04126436158507274]"
5,"[0.0006033938114354279, 0.004906961800458777]","[0.0006033938114354279, 0.004906961800458777]","[0.0031288118954288934, 0.006340844970936955]","[6.093563592055383e-05, 0.00025101922722728707]","[0.0033766660678849095, 0.0039736454741236054]","[0.00565695061156973, 0.0011115517847216897]","[0.0006033938114354279, 0.004906961800458777]","[0.0023548962824665965, 0.00663129541944308]","[0.00010519272113962788, 0.0003015399012666918]","[0.002597634120156538, 0.0018333838368937952]","[0.028769398276053654, 0.009991285153645233]","[0.006138920479135651, 0.0031777115635186126]","[0.01447794465116447, 0.00390739932748893]","[0.06710019863729638, 0.005223287532834214]","[0.0038626594155481875, 0.002341635672974821]","[0.002326899583618788, 0.0023094766455694165]","[0.002984192671175557, 0.0016197579941721987]","[0.01447794465116447, 0.00390739932748893]","[0.000830761119167763, 0.0023860709104671684]","[0.0001705282385544289, 0.00018533618111017954]","[0.0018245936102758977, 0.0012653637076958844]","[0.0024365859254309842, 0.007182885452489073]","[0.0, 0.0]","[0.0215265965387786, 0.00714075813450797]","[0.01447794465116447, 0.00390739932748893]","[0.0007860909164966378, 0.0031410003435118294]","[0.002450192419112485, 0.011132870472722515]","[0.012080868321796459, 0.025846580892784007]","[0.006178126883917597, 0.04592442788045619]","[0.0, 0.0]","[0.0041063127631280495, 0.04513634161683737]"
6,"[0.0008409277600656081, 0.012232071251182872]","[0.0008409277600656081, 0.012232071251182872]","[0.00472764058903254, 0.01592071095809798]","[6.026745251942786e-05, 1.5661855178780134e-05]","[0.004452350355096133, 0.01033475002239295]","[0.01423536840239126, 0.012406959097456502]","[0.0008409277600656081, 0.012232071251182872]","[0.003792785039316084, 0.01400677339354134]","[0.00014501225171767402, 0.0004910556203195096]","[0.0032025826384152315, 0.0050753418789802884]","[0.034931420216487055, 0.00423062232405116]","[0.00763980660517845, 0.006290383434523241]","[0.01840640031589663, 0.007374146361088045]","[0.08089575240075803, 0.009228059256853889]","[0.00680829928600284, 0.007059115538510376]","[0.003131258298770694, 0.003985196646136473]","[0.004665339013130822, 0.003099058002359588]","[0.01840640031589663, 0.007374146361088045]","[0.0009693524940089815, 0.004265137390942474]","[0.00023830418591666265, 0.0006424297299890896]","[0.00226919450478165, 0.000961676417848895]","[0.0031430480543049384, 0.009337821283405726]","[0.0, 0.0]","[0.02753871573315305, 0.009009800843015609]","[0.01840640031589663, 0.007374146361088045]","[0.0008079364425782113, 0.0014646961774614075]","[0.003062908534441835, 0.005932194161331428]","[0.015687962880547232, 0.014034192515286377]","[0.008009822410940082, 0.02935896054457697]","[0.0, 0.0]","[0.0053272410978832995, 0.028795359510790635]"
7,"[0.0010915005173275701, 0.01248712859486458]","[0.0010915005173275701, 0.01248712859486458]","[0.006378227469701352, 0.016023893599270932]","[6.450995475757162e-05, 7.706825155709718e-05]","[0.005296084058594706, 0.008294800354462912]","[0.021507793439089973, 0.01056575772878608]","[0.0010915005173275701, 0.01248712859486458]","[0.005322306277236786, 0.014484241892464958]","[0.00016668319110673283, 0.0002940692343006042]","[0.0037680062489563286, 0.004692087527761194]","[0.047028491884027745, 0.00737642185314441]","[0.008774802119917574, 0.00496571568031423]","[0.021433744323107913, 0.005934931368379378]","[0.08760497153162342, 0.0057402957286557315]","[0.009621260158201517, 0.006648840664692836]","[0.0034443731017037155, 0.0019025072693937487]","[0.005637346635809824, 0.0019096954024196752]","[0.021433744323107913, 0.005934931368379378]","[0.0011992722433977606, 0.006158359408599338]","[0.00023683418492476994, 6.476890708071811e-05]","[0.0022529488680775116, 0.0001221730476396334]","[0.0033929810108700603, 0.004291060732545558]","[0.0, 0.0]","[0.029730356087272918, 0.004298584849717239]","[0.021433744323107913, 0.005934931368379378]","[0.0011562209922326586, 0.008698038338637875]","[0.003025399483310871, 0.000447996027215895]","[0.017307682884898336, 0.007560766319639408]","[0.008002561502494161, 0.0049177047644713475]","[0.0, 0.0]","[0.005321902815420208, 0.0047829832250511715]"
8,"[0.0013508691978923984, 0.012449351696156671]","[0.0013508691978923984, 0.012449351696156671]","[0.007027738490078872, 0.007663611024177762]","[0.00010110567901181633, 0.00039277682253943154]","[0.007205882264227641, 0.01577267333441533]","[0.02392477314788126, 0.0043533597610328776]","[0.0013508691978923984, 0.012449351696156671]","[0.00555660649290399, 0.003925297489481365]","[0.00016394729925777831, 1.4111100396990469e-05]","[0.0048759870739281275, 0.007813297543673811]","[0.0524141622788307, 0.0039385807478746525]","[0.010266010362181987, 0.0059197331444984045]","[0.02416931650847041, 0.005413050344953787]","[0.09273196073434053, 0.005034106369910288]","[0.011191468087805483, 0.004036823103759286]","[0.003679555688352116, 0.001537086594930007]","[0.006256460520916132, 0.0013296247345349983]","[0.02416931650847041, 0.005413050344953787]","[0.0012954792934200966, 0.0032116360046760303]","[0.00023889247078460812, 0.00010147952096475805]","[0.0023137644637493847, 0.00027052603405912807]","[0.0036992753188944683, 0.0046681847809383736]","[0.0, 0.0]","[0.03235051869210568, 0.00467372152900795]","[0.02416931650847041, 0.005413050344953787]","[0.0012828853364278401, 0.0038378568043577256]","[0.0031228067586420447, 0.0017463154721662284]","[0.017686429169815394, 0.0036791540632040696]","[0.007999208705944649, 0.004704495879934533]","[0.0, 0.0]","[0.005320115048588921, 0.004609336637022225]"
9,"[0.0016413701987730157, 0.013117244093586947]","[0.0016413701987730157, 0.013117244093586947]","[0.008064115014143997, 0.010179427274490293]","[0.00015539156330718107, 0.0005403601700258451]","[0.008954139524682554, 0.014185455845711925]","[0.02583967951236869, 0.0036392155266629523]","[0.0016413701987730157, 0.013117244093586947]","[0.006384686883564271, 0.008032195335572388]","[0.0002678639134171697, 0.000977612611107711]","[0.006835333263273174, 0.012309191235278414]","[0.06058916153309829, 0.005238779233335998]","[0.012421012963318507, 0.007634531003485965]","[0.027600242033150348, 0.006217425987795897]","[0.09765295116233774, 0.005019865241815127]","[0.011104633017638706, 0.0006258722685055673]","[0.0038841771833815677, 0.0013582114705255708]","[0.006385272645742585, 0.000603739697683271]","[0.027600242033150348, 0.006217425987795897]","[0.001384783592048638, 0.002928762450001605]","[0.00031464904339422383, 0.0005912172748454293]","[0.002654388784087642, 0.0006579891280018595]","[0.004230185331096766, 0.006496998377715265]","[0.0, 0.0]","[0.03670038579732286, 0.006394596583992351]","[0.027600242033150348, 0.006217425987795897]","[0.0013141045842541051, 0.0018338410773527873]","[0.0032245707643896986, 0.0016762129326264154]","[0.017345052457591943, 8.552113334769866e-05]","[0.007903497559063506, 0.0017925625475665005]","[0.0, 0.0]","[0.005257716574485034, 0.0017967050091116275]"
10,"[0.0017002008302753465, 0.004736587752454259]","[0.0017002008302753465, 0.004736587752454259]","[0.008880552831117411, 0.008240841818235835]","[0.00024575187678383054, 0.0008194406431050846]","[0.0089592601079623, 0.002808453588971066]","[0.03234269963960725, 0.008519436354931574]","[0.0017002008302753465, 0.004736587752454259]","[0.007152427275600277, 0.007263015272575844]","[0.00028045390290410945, 0.00020773007401999412]","[0.007087892574399801, 0.00305910904912517]","[0.06531457307224951, 0.003578705084884495]","[0.013765072626512793, 0.005217535427000694]","[0.030079788605578896, 0.004857276793751654]","[0.10706918622316422, 0.007448909527480689]","[0.013075321965312015, 0.004261023294989943]","[0.004834304837018647, 0.003681773752095905]","[0.007937371687425716, 0.002354845722141463]","[0.030079788605578896, 0.004857276793751654]","[0.0017578769385225756, 0.007719429476856939]","[0.0008266091850266319, 0.0032709456042578264]","[0.004341279997255004, 0.0024242623310201036]","[0.005125689249731956, 0.009235768917079095]","[0.0, 0.0]","[0.04395293901328021, 0.00913393326209646]","[0.030079788605578896, 0.004857276793751654]","[0.0016044098624567005, 0.006285667406903071]","[0.003341936495573363, 0.0016649631009219088]","[0.017324262147266532, 0.0021048670779051904]","[0.008215885386361024, 0.007289880270644212]","[0.0, 0.0]","[0.0054705691087436, 0.007158181523427084]"
